/home/archer/.local/lib/python3.10/site-packages/gym/envs/registration.py:555: UserWarning: [33mWARN: The environment SuperMarioBros-1-1-v0 is out of date. You should consider upgrading to version `v3`.[0m
  logger.warn(
Training:   0%|                                                                                 | 0/500 [00:00<?, ?it/s]/home/archer/.local/lib/python3.10/site-packages/gym/utils/passive_env_checker.py:195: UserWarning: [33mWARN: The result returned by `env.reset()` was not a tuple of the form `(obs, info)`, where `obs` is a observation and `info` is a dictionary containing additional information. Actual type: `<class 'numpy.ndarray'>`[0m
  logger.warn(
/home/archer/.local/lib/python3.10/site-packages/gym/utils/passive_env_checker.py:272: UserWarning: [33mWARN: No render modes was declared in the environment (env.metadata['render_modes'] is None or not defined), you may have trouble when calling `.render()`.[0m
  logger.warn(
/home/archer/.local/lib/python3.10/site-packages/gym/utils/passive_env_checker.py:219: DeprecationWarning: [33mWARN: Core environment is written in old step API which returns one bool instead of two. It is recommended to rewrite the environment with new step API. [0m
  logger.deprecation(
Episode 143 | Reward: 742.00 | Eps: 0.020
Episode 144 | Reward: 1324.00 | Eps: 0.020
Episode 145 | Reward: 809.00 | Eps: 0.020
Episode 146 | Reward: 251.00 | Eps: 0.020
Episode 147 | Reward: 602.00 | Eps: 0.020
Episode 148 | Reward: 741.00 | Eps: 0.020
Episode 149 | Reward: 952.00 | Eps: 0.020
Episode 150 | Reward: 1562.00 | Eps: 0.020
Episode 151 | Reward: 610.00 | Eps: 0.020
Episode 152 | Reward: 1322.00 | Eps: 0.020
Episode 153 | Reward: 1045.00 | Eps: 0.020
Episode 154 | Reward: 235.00 | Eps: 0.020
Episode 155 | Reward: 1413.00 | Eps: 0.020
Episode 156 | Reward: 641.00 | Eps: 0.020
Episode 157 | Reward: 638.00 | Eps: 0.020
Episode 158 | Reward: 232.00 | Eps: 0.020
Episode 159 | Reward: 816.00 | Eps: 0.020
Episode 160 | Reward: 612.00 | Eps: 0.020
Episode 161 | Reward: 234.00 | Eps: 0.020
Episode 162 | Reward: 1011.00 | Eps: 0.020
Episode 163 | Reward: 817.00 | Eps: 0.020
Episode 164 | Reward: 248.00 | Eps: 0.020
Episode 165 | Reward: 633.00 | Eps: 0.020
Episode 166 | Reward: 1047.00 | Eps: 0.020
Episode 167 | Reward: 1776.00 | Eps: 0.020
Episode 168 | Reward: 814.00 | Eps: 0.020
Episode 169 | Reward: 634.00 | Eps: 0.020
Episode 170 | Reward: 1015.00 | Eps: 0.020
Episode 171 | Reward: 622.00 | Eps: 0.020
Episode 172 | Reward: 640.00 | Eps: 0.020
Episode 173 | Reward: 1014.00 | Eps: 0.020
Episode 174 | Reward: 640.00 | Eps: 0.020
Episode 175 | Reward: 641.00 | Eps: 0.020
Episode 176 | Reward: 241.00 | Eps: 0.020
Episode 177 | Reward: 248.00 | Eps: 0.020
Episode 178 | Reward: 1025.00 | Eps: 0.020
Episode 179 | Reward: 1289.00 | Eps: 0.020
Episode 180 | Reward: 248.00 | Eps: 0.020
Episode 181 | Reward: 1291.00 | Eps: 0.020
Episode 182 | Reward: 624.00 | Eps: 0.020
Episode 183 | Reward: 250.00 | Eps: 0.020
Episode 184 | Reward: 1393.00 | Eps: 0.020
Episode 185 | Reward: 611.00 | Eps: 0.020
Episode 186 | Reward: 753.00 | Eps: 0.020
Episode 187 | Reward: 710.00 | Eps: 0.020
Episode 188 | Reward: 654.00 | Eps: 0.020
Episode 189 | Reward: 763.00 | Eps: 0.020
Episode 190 | Reward: 1306.00 | Eps: 0.020
Episode 191 | Reward: 1045.00 | Eps: 0.020
Episode 192 | Reward: 761.00 | Eps: 0.020
Episode 193 | Reward: 815.00 | Eps: 0.020
Episode 194 | Reward: 1583.00 | Eps: 0.020
Episode 195 | Reward: 816.00 | Eps: 0.020
Episode 196 | Reward: 605.00 | Eps: 0.020
Episode 197 | Reward: 251.00 | Eps: 0.020
Episode 198 | Reward: 612.00 | Eps: 0.020
Episode 199 | Reward: 635.00 | Eps: 0.020
Episode 200 | Reward: 813.00 | Eps: 0.020
Episode 201 | Reward: 1332.00 | Eps: 0.020
Episode 202 | Reward: 241.00 | Eps: 0.020
Episode 203 | Reward: 243.00 | Eps: 0.020
Episode 204 | Reward: 639.00 | Eps: 0.020
Episode 205 | Reward: 816.00 | Eps: 0.020
Episode 206 | Reward: 245.00 | Eps: 0.020
Episode 207 | Reward: 1010.00 | Eps: 0.020
Episode 208 | Reward: 613.00 | Eps: 0.020
Episode 209 | Reward: 618.00 | Eps: 0.020
Episode 210 | Reward: 639.00 | Eps: 0.020
Episode 211 | Reward: 609.00 | Eps: 0.020
Episode 212 | Reward: 1035.00 | Eps: 0.020
Episode 213 | Reward: 633.00 | Eps: 0.020
Episode 214 | Reward: 652.00 | Eps: 0.020
Episode 215 | Reward: 771.00 | Eps: 0.020
Episode 216 | Reward: 1349.00 | Eps: 0.020
Episode 217 | Reward: 653.00 | Eps: 0.020
Episode 218 | Reward: 1330.00 | Eps: 0.020
Episode 219 | Reward: 252.00 | Eps: 0.020
Episode 220 | Reward: 653.00 | Eps: 0.020
Episode 221 | Reward: 601.00 | Eps: 0.020
Episode 222 | Reward: 1556.00 | Eps: 0.020
Episode 223 | Reward: 252.00 | Eps: 0.020
Episode 224 | Reward: 639.00 | Eps: 0.020
Episode 225 | Reward: 792.00 | Eps: 0.020
Episode 226 | Reward: 1424.00 | Eps: 0.020
Episode 227 | Reward: 621.00 | Eps: 0.020
Episode 228 | Reward: 610.00 | Eps: 0.020
Episode 229 | Reward: 816.00 | Eps: 0.020
Episode 230 | Reward: 732.00 | Eps: 0.020
Episode 231 | Reward: 605.00 | Eps: 0.020
Episode 232 | Reward: 813.00 | Eps: 0.020
Episode 233 | Reward: 641.00 | Eps: 0.020
Episode 234 | Reward: 814.00 | Eps: 0.020
Episode 235 | Reward: 774.00 | Eps: 0.020
Episode 236 | Reward: 636.00 | Eps: 0.020
Episode 237 | Reward: 797.00 | Eps: 0.020
Episode 238 | Reward: 767.00 | Eps: 0.020
Episode 239 | Reward: 639.00 | Eps: 0.020
Episode 240 | Reward: 1033.00 | Eps: 0.020
Episode 241 | Reward: 797.00 | Eps: 0.020
Episode 242 | Reward: 807.00 | Eps: 0.020
Episode 243 | Reward: 611.00 | Eps: 0.020
Episode 244 | Reward: 626.00 | Eps: 0.020
Episode 245 | Reward: 1316.00 | Eps: 0.020
Episode 246 | Reward: 250.00 | Eps: 0.020
Episode 247 | Reward: 640.00 | Eps: 0.020
Episode 248 | Reward: 792.00 | Eps: 0.020
Episode 249 | Reward: 642.00 | Eps: 0.020
Episode 250 | Reward: 653.00 | Eps: 0.020
Episode 251 | Reward: 605.00 | Eps: 0.020
Episode 252 | Reward: 1326.00 | Eps: 0.020
Episode 253 | Reward: 611.00 | Eps: 0.020
Episode 254 | Reward: 630.00 | Eps: 0.020
Episode 255 | Reward: 632.00 | Eps: 0.020
Episode 256 | Reward: 614.00 | Eps: 0.020
Episode 257 | Reward: 246.00 | Eps: 0.020
Episode 258 | Reward: 248.00 | Eps: 0.020
Episode 259 | Reward: 796.00 | Eps: 0.020
Episode 260 | Reward: 1334.00 | Eps: 0.020
Episode 261 | Reward: 606.00 | Eps: 0.020
Episode 262 | Reward: 1911.00 | Eps: 0.020
Episode 263 | Reward: 250.00 | Eps: 0.020
Episode 264 | Reward: 624.00 | Eps: 0.020
Episode 265 | Reward: 237.00 | Eps: 0.020
Episode 266 | Reward: 590.00 | Eps: 0.020
Episode 267 | Reward: 755.00 | Eps: 0.020
Episode 268 | Reward: 772.00 | Eps: 0.020
Episode 269 | Reward: 816.00 | Eps: 0.020
Episode 270 | Reward: 600.00 | Eps: 0.020
Episode 271 | Reward: 1030.00 | Eps: 0.020
Episode 272 | Reward: 639.00 | Eps: 0.020
Episode 273 | Reward: 1745.00 | Eps: 0.020
Episode 274 | Reward: 608.00 | Eps: 0.020
Episode 275 | Reward: 248.00 | Eps: 0.020
Episode 276 | Reward: 243.00 | Eps: 0.020
Episode 277 | Reward: 607.00 | Eps: 0.020
Episode 278 | Reward: 611.00 | Eps: 0.020
Episode 279 | Reward: 1303.00 | Eps: 0.020
Episode 280 | Reward: 247.00 | Eps: 0.020
Episode 281 | Reward: 242.00 | Eps: 0.020
Episode 282 | Reward: 1031.00 | Eps: 0.020
Episode 283 | Reward: 811.00 | Eps: 0.020
Episode 284 | Reward: 816.00 | Eps: 0.020
Episode 285 | Reward: 784.00 | Eps: 0.020
Episode 286 | Reward: 614.00 | Eps: 0.020
Episode 287 | Reward: 637.00 | Eps: 0.020
Episode 288 | Reward: 638.00 | Eps: 0.020
Episode 289 | Reward: 1308.00 | Eps: 0.020
Episode 290 | Reward: 734.00 | Eps: 0.020
Episode 291 | Reward: 251.00 | Eps: 0.020
Episode 292 | Reward: 650.00 | Eps: 0.020
Episode 293 | Reward: 611.00 | Eps: 0.020
Episode 294 | Reward: 610.00 | Eps: 0.020
Episode 295 | Reward: 616.00 | Eps: 0.020
Episode 296 | Reward: 741.00 | Eps: 0.020
Episode 297 | Reward: 761.00 | Eps: 0.020
Episode 298 | Reward: 599.00 | Eps: 0.020
Episode 299 | Reward: 639.00 | Eps: 0.020
Episode 300 | Reward: 636.00 | Eps: 0.020
Episode 301 | Reward: 1061.00 | Eps: 0.020
Episode 302 | Reward: 242.00 | Eps: 0.020
Episode 303 | Reward: 807.00 | Eps: 0.020
Episode 304 | Reward: 1316.00 | Eps: 0.020
Episode 305 | Reward: 626.00 | Eps: 0.020
Episode 306 | Reward: 814.00 | Eps: 0.020
Episode 307 | Reward: 1051.00 | Eps: 0.020
Episode 308 | Reward: 1580.00 | Eps: 0.020
Episode 309 | Reward: 1013.00 | Eps: 0.020
Episode 310 | Reward: 634.00 | Eps: 0.020
Episode 311 | Reward: 617.00 | Eps: 0.020
Episode 312 | Reward: 249.00 | Eps: 0.020
Episode 313 | Reward: 613.00 | Eps: 0.020
Episode 314 | Reward: 617.00 | Eps: 0.020
Episode 315 | Reward: 619.00 | Eps: 0.020
Episode 316 | Reward: 739.00 | Eps: 0.020
Episode 317 | Reward: 1340.00 | Eps: 0.020
Episode 318 | Reward: 639.00 | Eps: 0.020
Episode 319 | Reward: 626.00 | Eps: 0.020
Episode 320 | Reward: 768.00 | Eps: 0.020
Episode 321 | Reward: 698.00 | Eps: 0.020
Episode 322 | Reward: 809.00 | Eps: 0.020
Episode 323 | Reward: 640.00 | Eps: 0.020
Episode 324 | Reward: 639.00 | Eps: 0.020
Episode 325 | Reward: 1005.00 | Eps: 0.020
Episode 326 | Reward: 240.00 | Eps: 0.020
Episode 327 | Reward: 634.00 | Eps: 0.020
Episode 328 | Reward: 242.00 | Eps: 0.020
Episode 329 | Reward: 1035.00 | Eps: 0.020
Episode 330 | Reward: 1688.00 | Eps: 0.020
Episode 331 | Reward: 1043.00 | Eps: 0.020
Episode 332 | Reward: 1028.00 | Eps: 0.020
Episode 333 | Reward: 1328.00 | Eps: 0.020
Episode 334 | Reward: 640.00 | Eps: 0.020
Episode 335 | Reward: 783.00 | Eps: 0.020
Episode 336 | Reward: 604.00 | Eps: 0.020
Episode 337 | Reward: 1337.00 | Eps: 0.020
Episode 338 | Reward: 804.00 | Eps: 0.020
Episode 339 | Reward: 1050.00 | Eps: 0.020
Episode 340 | Reward: 750.00 | Eps: 0.020
Episode 341 | Reward: 616.00 | Eps: 0.020
Episode 342 | Reward: 1558.00 | Eps: 0.020
Episode 343 | Reward: 1043.00 | Eps: 0.020
Episode 344 | Reward: 636.00 | Eps: 0.020
Episode 345 | Reward: 749.00 | Eps: 0.020
Episode 346 | Reward: 813.00 | Eps: 0.020
Episode 347 | Reward: 778.00 | Eps: 0.020
Episode 348 | Reward: 1333.00 | Eps: 0.020
Episode 349 | Reward: 641.00 | Eps: 0.020
Episode 350 | Reward: 1018.00 | Eps: 0.020
Traceback (most recent call last):
  File "/home/archer/code/super_mario_learning/train.py", line 351, in <module>
    if len(rewards_history) >= 50:
  File "/home/archer/code/super_mario_learning/train.py", line 311, in run_training
